Blade,Ratchet,Bit,Win %,Wins,Losses,Partidas,Pts Ganados/Combate,Pts Cedidos/Combate,Wilson Score,Arquetipo victoria,Arquetipo derrota
Aero Pegasus,3-60,Rush,69.23,9.0,4.0,13,2.0,1.75,0.4236888781333764,🟠 Burst / Over,🟠 Pierde por burst/over
Aero Pegasus,5-60,Kick,57.14,4.0,3.0,7,1.25,1.67,0.2504542304090258,⚪ Datos insuficientes,⚪ Datos insuficientes
Aero Pegasus,5-60,Rush,25.0,1.0,3.0,4,3.0,1.33,0.0455860626446362,⚪ Datos insuficientes,⚪ Datos insuficientes
Aero Pegasus,6-60,Kick,50.0,2.0,2.0,4,1.0,2.0,0.1500357088201714,⚪ Datos insuficientes,⚪ Datos insuficientes
Aero Pegasus,6-60,Rush,33.33,4.0,8.0,12,1.75,1.25,0.1381178398973613,🟠 Burst / Over,🔵 Pierde por spin
Aero Pegasus,7-60,Kick,70.0,7.0,3.0,10,1.71,1.67,0.3967732199795652,🟠 Burst / Over,🟠 Pierde por burst/over
Aero Pegasus,7-60,Level,54.17,13.0,11.0,24,1.85,1.82,0.3507455355310663,🟠 Burst / Over,🟠 Pierde por burst/over
Aero Pegasus,7-60,Low Rush,67.74,21.0,10.0,31,1.71,1.1,0.501406855599508,🟠 Burst / Over,🔵 Pierde por spin
Aero Pegasus,7-60,Point,56.25,9.0,7.0,16,1.67,1.14,0.3317819560677652,🟠 Burst / Over,🔵 Pierde por spin
Aero Pegasus,7-60,Rush,70.0,7.0,3.0,10,2.0,1.33,0.3967732199795652,🟠 Burst / Over,🔵 Pierde por spin
Aero Pegasus,9-60,Rush,57.14,4.0,3.0,7,2.0,2.0,0.2504542304090258,⚪ Datos insuficientes,⚪ Datos insuficientes
Antler Stag,0-60,Ball,87.5,7.0,1.0,8,1.29,1.0,0.5291051942301385,⚪ Datos insuficientes,⚪ Datos insuficientes
Bear Scratch,1-60,Bumper,71.43,5.0,2.0,7,1.6,1.0,0.3589290901482126,⚪ Datos insuficientes,⚪ Datos insuficientes
Bite Croc,3-60,Low Flat,40.0,2.0,3.0,5,1.0,1.67,0.1176182311592532,⚪ Datos insuficientes,⚪ Datos insuficientes
Bite Croc,3-60,Rush,33.33,2.0,4.0,6,1.5,1.25,0.0967693325592168,⚪ Datos insuficientes,⚪ Datos insuficientes
Bite Croc,4-55,Under Needle,50.0,2.0,2.0,4,2.0,2.0,0.1500357088201714,⚪ Datos insuficientes,⚪ Datos insuficientes
Black Shell,1-60,Rush,47.37,9.0,10.0,19,1.89,1.1,0.2732950548744854,🟠 Burst / Over,🔵 Pierde por spin
Black Shell,4-60,Ball,25.0,1.0,3.0,4,3.0,2.0,0.0455860626446362,⚪ Datos insuficientes,⚪ Datos insuficientes
Black Shell,5-80,Taper,40.0,2.0,3.0,5,2.5,2.0,0.1176182311592532,⚪ Datos insuficientes,⚪ Datos insuficientes
Black Shell,6-60,Rush,75.0,3.0,1.0,4,1.67,1.0,0.3006360524426366,⚪ Datos insuficientes,⚪ Datos insuficientes
Cerberus Flame,4-55,Kick,71.43,5.0,2.0,7,1.6,2.0,0.3589290901482126,⚪ Datos insuficientes,⚪ Datos insuficientes
Cerberus Flame Heavy,9-60,Hexa,57.14,8.0,6.0,14,1.0,1.33,0.3259026690286936,🔵 Spin finish,🔵 Pierde por spin
Cerberus Flame Massive,3-60,Kick,66.67,8.0,4.0,12,1.88,1.0,0.3906175873976139,🟠 Burst / Over,🔵 Pierde por spin
Cerberus Flame Massive,4-55,Kick,33.33,1.0,2.0,3,3.0,2.0,0.0614903152761605,⚪ Datos insuficientes,⚪ Datos insuficientes
Clock Mirage,4-55,Low Orb,50.0,6.0,6.0,12,0.83,1.0,0.2537781703934222,🔵 Spin finish,🔵 Pierde por spin
Clock Mirage,4-55,Under Needle,80.0,4.0,1.0,5,1.0,2.0,0.3755282641185388,⚪ Datos insuficientes,⚪ Datos insuficientes
Clock Mirage,7-55,Low Orb,66.67,4.0,2.0,6,1.25,2.0,0.2999883213415286,⚪ Datos insuficientes,⚪ Datos insuficientes
Clock Mirage,7-55,Under Needle,53.85,7.0,6.0,13,1.57,1.67,0.2914343243183204,🟠 Burst / Over,🟠 Pierde por burst/over
Cobalt Dragoon,0-70,Elevate,0.0,0.0,1.0,1,0.0,2.0,0.0,⚪ Datos insuficientes,⚪ Datos insuficientes
Cobalt Dragoon,1-60,Cyclone,66.67,2.0,1.0,3,1.5,1.0,0.2076549551264878,⚪ Datos insuficientes,⚪ Datos insuficientes
Cobalt Dragoon,1-60,Elevate,66.18,45.0,23.0,68,1.49,1.87,0.5433701723652863,🔵 Spin finish,🟠 Pierde por burst/over
Cobalt Dragoon,1-60,Level,75.0,3.0,1.0,4,1.0,1.0,0.3006360524426366,⚪ Datos insuficientes,⚪ Datos insuficientes
Cobalt Dragoon,1-60,Low Flat,42.86,3.0,4.0,7,1.33,1.25,0.1582169222626268,⚪ Datos insuficientes,⚪ Datos insuficientes
Cobalt Dragoon,1-60,Point,66.67,4.0,2.0,6,1.25,1.0,0.2999883213415286,⚪ Datos insuficientes,⚪ Datos insuficientes
Cobalt Dragoon,1-70,Elevate,45.45,5.0,6.0,11,1.0,2.33,0.2127095754398804,🔵 Spin finish,🟠 Pierde por burst/over
Cobalt Dragoon,2-60,Cyclone,40.91,9.0,13.0,22,2.0,1.08,0.2325555966882037,🟠 Burst / Over,🔵 Pierde por spin
Cobalt Dragoon,3-60,Cyclone,50.0,3.0,3.0,6,0.0,0.0,0.1876128068994087,⚪ Datos insuficientes,⚪ Datos insuficientes
Cobalt Dragoon,3-60,Point,33.33,1.0,2.0,3,0.0,0.0,0.0614903152761605,⚪ Datos insuficientes,⚪ Datos insuficientes
Cobalt Dragoon,4-55,Elevate,75.0,12.0,4.0,16,1.19,1.25,0.5050123107060135,🔵 Spin finish,🔵 Pierde por spin
Cobalt Dragoon,4-55,Level,50.0,1.0,1.0,2,1.0,3.0,0.0945286548008661,⚪ Datos insuficientes,⚪ Datos insuficientes
Cobalt Dragoon,4-60,Cyclone,62.86,22.0,13.0,35,1.64,1.92,0.4633664048802107,🟠 Burst / Over,🟠 Pierde por burst/over
Cobalt Dragoon,4-60,Elevate,65.71,23.0,12.0,35,0.87,1.25,0.4915164687273671,🔵 Spin finish,🔵 Pierde por spin
Cobalt Dragoon,4-60,Glide,61.54,8.0,5.0,13,1.5,1.4,0.3552248097226855,🟠 Burst / Over,🔵 Pierde por spin
Cobalt Dragoon,4-60,Level,66.67,2.0,1.0,3,1.0,1.0,0.2076549551264878,⚪ Datos insuficientes,⚪ Datos insuficientes
Cobalt Dragoon,4-60,Low Flat,44.44,4.0,5.0,9,2.5,1.0,0.188775429471914,⚪ Datos insuficientes,⚪ Datos insuficientes
Cobalt Dragoon,4-60,Point,28.57,2.0,5.0,7,2.0,1.0,0.0822171657090155,⚪ Datos insuficientes,⚪ Datos insuficientes
Cobalt Dragoon,4-80,Elevate,100.0,4.0,0.0,4,1.25,0.0,0.5100999795960008,⚪ Datos insuficientes,⚪ Datos insuficientes
Cobalt Dragoon,5-60,Cyclone,66.67,4.0,2.0,6,2.25,1.5,0.2999883213415286,⚪ Datos insuficientes,⚪ Datos insuficientes
Cobalt Dragoon,5-60,Elevate,66.6,343.0,172.0,515,1.465,1.765,0.6241886988651185,🔵 Spin finish,🟠 Pierde por burst/over
Cobalt Dragoon,5-60,Gear Rush,100.0,1.0,0.0,1,2.0,0.0,0.2065432914738929,⚪ Datos insuficientes,⚪ Datos insuficientes
Cobalt Dragoon,5-60,Level,100.0,4.0,0.0,4,1.0,0.0,0.5100999795960008,⚪ Datos insuficientes,⚪ Datos insuficientes
Cobalt Dragoon,5-60,Point,55.56,5.0,4.0,9,1.6,1.0,0.2666473457440296,⚪ Datos insuficientes,⚪ Datos insuficientes
Cobalt Dragoon,5-70,Elevate,77.08,37.0,11.0,48,1.16,1.91,0.6346046409154885,🔵 Spin finish,🟠 Pierde por burst/over
Cobalt Dragoon,5-70,Low Flat,60.0,3.0,2.0,5,1.67,1.0,0.230719932208837,⚪ Datos insuficientes,⚪ Datos insuficientes
Cobalt Dragoon,5-70,Point,40.0,6.0,9.0,15,1.5,1.56,0.1982422808259466,🟠 Burst / Over,🟠 Pierde por burst/over
Cobalt Dragoon,5-80,Elevate,36.36,4.0,7.0,11,1.0,1.86,0.1516622361413138,🔵 Spin finish,🟠 Pierde por burst/over
Cobalt Dragoon,6-60,Elevate,61.54,8.0,5.0,13,1.63,1.6,0.3552248097226855,🟠 Burst / Over,🟠 Pierde por burst/over
Cobalt Dragoon,6-60,Point,50.0,2.0,2.0,4,1.5,1.5,0.1500357088201714,⚪ Datos insuficientes,⚪ Datos insuficientes
Cobalt Dragoon,6-60,Rush,50.0,6.0,6.0,12,1.83,1.0,0.2537781703934222,🟠 Burst / Over,🔵 Pierde por spin
Cobalt Dragoon,7-60,Cyclone,57.69,15.0,11.0,26,2.0,1.45,0.3894829692111983,🟠 Burst / Over,🔵 Pierde por spin
Cobalt Dragoon,7-60,Elevate,56.86,29.0,22.0,51,1.28,1.68,0.4326506123505808,🔵 Spin finish,🟠 Pierde por burst/over
Cobalt Dragoon,7-60,Glide,71.43,5.0,2.0,7,1.6,1.5,0.3589290901482126,⚪ Datos insuficientes,⚪ Datos insuficientes
Cobalt Dragoon,7-60,Level,66.67,8.0,4.0,12,1.5,1.5,0.3906175873976139,🟠 Burst / Over,🟠 Pierde por burst/over
Cobalt Dragoon,7-60,Point,63.16,24.0,14.0,38,1.63,2.07,0.4728367282426011,🟠 Burst / Over,🟠 Pierde por burst/over
Cobalt Dragoon,7-70,Elevate,70.83,17.0,7.0,24,1.35,2.0,0.5083193634129031,🔵 Spin finish,🟠 Pierde por burst/over
Cobalt Dragoon,9-60,Cyclone,20.0,1.0,4.0,5,1.0,1.0,0.0362231609697874,⚪ Datos insuficientes,⚪ Datos insuficientes
Cobalt Dragoon,9-60,Elevate,61.54,24.0,15.0,39,1.21,1.67,0.4589878131007847,🔵 Spin finish,🟠 Pierde por burst/over
Cobalt Dragoon,9-60,Point,20.0,1.0,4.0,5,1.0,1.5,0.0362231609697874,⚪ Datos insuficientes,⚪ Datos insuficientes
Cobalt Dragoon,9-70,Elevate,86.11,31.0,5.0,36,1.42,2.2,0.7134014871960681,🔵 Spin finish,🟠 Pierde por burst/over
Cobalt Drake,1-60,Rush,30.0,3.0,7.0,10,2.0,1.14,0.1077892874862118,🟠 Burst / Over,🔵 Pierde por spin
Cobalt Drake,1-70,Kick,37.5,3.0,5.0,8,2.0,1.2,0.136841759461521,⚪ Datos insuficientes,⚪ Datos insuficientes
Cobalt Drake,5-60,Rush,33.33,2.0,4.0,6,1.5,2.25,0.0967693325592168,⚪ Datos insuficientes,⚪ Datos insuficientes
Cobalt Drake,7-60,Level,50.0,1.0,1.0,2,1.0,1.0,0.0945286548008661,⚪ Datos insuficientes,⚪ Datos insuficientes
Cobalt Drake,9-60,Elevate,66.67,6.0,3.0,9,1.33,2.0,0.3541973474990897,⚪ Datos insuficientes,⚪ Datos insuficientes
Cobalt Drake,9-60,Jolt,33.33,2.0,4.0,6,1.0,1.75,0.0967693325592168,⚪ Datos insuficientes,⚪ Datos insuficientes
Cobalt Drake,9-60,Rush,33.33,1.0,2.0,3,2.0,3.0,0.0614903152761605,⚪ Datos insuficientes,⚪ Datos insuficientes
Crimson Garuda,4-60,Trans Point,0.0,0.0,3.0,3,0.0,1.67,0.0,⚪ Datos insuficientes,⚪ Datos insuficientes
Crimson Garuda,6-80,Rush,16.67,1.0,5.0,6,2.0,2.0,0.0300525858717302,⚪ Datos insuficientes,⚪ Datos insuficientes
Crimson Garuda,7-60,Cyclone,50.0,3.0,3.0,6,2.0,1.33,0.1876128068994087,⚪ Datos insuficientes,⚪ Datos insuficientes
Crimson Garuda,7-60,Flat,40.0,2.0,3.0,5,1.0,1.0,0.1176182311592532,⚪ Datos insuficientes,⚪ Datos insuficientes
Dragoon Storm,9-60,Elevate,76.92,10.0,3.0,13,1.5,2.0,0.4974312600487308,🟠 Burst / Over,🟠 Pierde por burst/over
Dran Brave Assault,3-60,Low Rush,40.0,2.0,3.0,5,1.5,1.67,0.1176182311592532,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Brave Heavy,5-60,Flat,33.33,1.0,2.0,3,3.0,1.5,0.0614903152761605,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Brave Slash,1-60,Low Rush,42.86,3.0,4.0,7,2.67,2.0,0.1582169222626268,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Brave Slash,1-60,Rush,66.67,2.0,1.0,3,2.0,1.0,0.2076549551264878,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Brave Slash,6-60,Vortex,50.0,2.0,2.0,4,1.5,1.0,0.1500357088201714,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Brave Slash,9-60,Low Rush,50.0,2.0,2.0,4,1.5,1.5,0.1500357088201714,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Buster,1-60,Accel,100.0,3.0,0.0,3,0.67,0.0,0.4384939195509822,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Buster,1-60,Flat,40.0,4.0,6.0,10,1.5,1.0,0.1681775812035096,🟠 Burst / Over,🔵 Pierde por spin
Dran Buster,1-60,Gear Point,28.57,2.0,5.0,7,2.0,1.6,0.0822171657090155,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Buster,1-60,Kick,50.0,3.0,3.0,6,1.67,2.0,0.1876128068994087,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Buster,1-60,Level,100.0,1.0,0.0,1,1.0,0.0,0.2065432914738929,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Buster,1-60,Low Flat,35.0,21.0,39.0,60,1.95,1.33,0.2416760172381548,🟠 Burst / Over,🔵 Pierde por spin
Dran Buster,1-60,Low Rush,33.33,5.0,10.0,15,2.0,1.3,0.1517610069469123,🟠 Burst / Over,🔵 Pierde por spin
Dran Buster,1-60,Point,47.62,10.0,11.0,21,1.8,1.73,0.2834371229676294,🟠 Burst / Over,🟠 Pierde por burst/over
Dran Buster,1-60,Rush,40.0,4.0,6.0,10,2.0,1.5,0.1681775812035096,🟠 Burst / Over,🟠 Pierde por burst/over
Dran Buster,1-60,Under Flat,50.0,5.0,5.0,10,1.8,1.4,0.2365895936154873,🟠 Burst / Over,🔵 Pierde por spin
Dran Buster,1-60,Unite,58.33,7.0,5.0,12,1.43,1.2,0.3195073356553728,🔵 Spin finish,🔵 Pierde por spin
Dran Buster,3-60,Flat,0.0,0.0,3.0,3,0.0,1.67,0.0,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Buster,3-60,Low Flat,50.0,1.0,1.0,2,2.0,2.0,0.0945286548008661,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Buster,3-60,Low Rush,50.0,3.0,3.0,6,1.67,1.67,0.1876128068994087,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Buster,3-60,Rush,50.0,3.0,3.0,6,2.33,1.67,0.1876128068994087,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Buster,3-60,Taper,25.0,1.0,3.0,4,1.0,1.0,0.0455860626446362,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Buster,3-70,Unite,75.0,3.0,1.0,4,2.67,1.0,0.3006360524426366,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Buster,4-55,Low Flat,40.0,2.0,3.0,5,2.5,1.0,0.1176182311592532,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Buster,4-60,Flat,44.44,8.0,10.0,18,1.88,1.3,0.2455923110138912,🟠 Burst / Over,🔵 Pierde por spin
Dran Buster,5-60,Low Flat,42.11,8.0,11.0,19,2.38,1.55,0.2314162039203038,🟠 Burst / Over,🟠 Pierde por burst/over
Dran Buster,7-60,Flat,40.0,2.0,3.0,5,2.0,2.33,0.1176182311592532,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Buster,7-60,Low Flat,50.0,5.0,5.0,10,1.6,1.8,0.2365895936154873,🟠 Burst / Over,🟠 Pierde por burst/over
Dran Buster,7-60,Low Rush,53.57,15.0,13.0,28,1.925,1.45,0.3581239514210166,🟠 Burst / Over,🔵 Pierde por spin
Dran Buster,7-60,Rush,100.0,3.0,0.0,3,2.33,0.0,0.4384939195509822,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Buster,7-70,Low Rush,57.14,8.0,6.0,14,1.88,1.5,0.3259026690286936,🟠 Burst / Over,🟠 Pierde por burst/over
Dran Buster,9-60,Unite,50.0,3.0,3.0,6,2.0,1.67,0.1876128068994087,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Dagger,3-60,Cyclone,0.0,0.0,2.0,2,0.0,1.0,0.0,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Dagger,3-60,Gear Flat,100.0,1.0,0.0,1,1.0,0.0,0.2065432914738929,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Dagger,3-60,Low Flat,33.33,1.0,2.0,3,3.0,1.5,0.0614903152761605,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Dagger,3-60,Taper,50.0,2.0,2.0,4,2.0,2.0,0.1500357088201714,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Dagger,4-60,Rush,31.58,6.0,13.0,19,1.67,1.38,0.1536417100442859,🟠 Burst / Over,🔵 Pierde por spin
Dran Strike,3-60,Kick,44.44,4.0,5.0,9,2.25,1.6,0.188775429471914,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Sword,3-60,Flat,33.33,6.0,12.0,18,1.5,1.42,0.1627855436366285,🟠 Burst / Over,🔵 Pierde por spin
Dran Sword,3-60,High Needle,50.0,3.0,3.0,6,1.33,2.0,0.1876128068994087,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Sword,3-60,Low Flat,28.57,2.0,5.0,7,2.5,1.4,0.0822171657090155,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Sword,3-60,Orb,0.0,0.0,1.0,1,0.0,2.0,0.0,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Sword,3-60,Point,58.33,7.0,5.0,12,1.71,1.6,0.3195073356553728,🟠 Burst / Over,🟠 Pierde por burst/over
Dran Sword,3-60,Rush,37.5,6.0,10.0,16,1.67,1.3,0.184809825547528,🟠 Burst / Over,🔵 Pierde por spin
Dran Sword,3-60,Taper,48.72,19.0,20.0,39,1.42,1.45,0.3386492878313309,🔵 Spin finish,🔵 Pierde por spin
Dran Sword,3-60,Vortex,50.0,9.0,9.0,18,2.11,1.56,0.2903070395897999,🟠 Burst / Over,🟠 Pierde por burst/over
Dran Sword,3-80,Flat,40.0,2.0,3.0,5,2.5,1.67,0.1176182311592532,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Sword,4-60,Taper,60.0,3.0,2.0,5,1.33,1.5,0.230719932208837,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Sword,4-80,Needle,50.0,2.0,2.0,4,1.5,1.5,0.1500357088201714,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Sword,5-60,Flat,25.0,1.0,3.0,4,1.0,1.67,0.0455860626446362,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Sword,5-60,Taper,37.5,3.0,5.0,8,2.0,1.0,0.136841759461521,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Sword,5-80,Flat,40.0,2.0,3.0,5,1.0,1.67,0.1176182311592532,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Sword,5-80,Orb,60.0,3.0,2.0,5,1.0,2.0,0.230719932208837,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Sword,7-60,Taper,0.0,0.0,3.0,3,0.0,2.67,0.0,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Sword,9-60,Flat,20.0,1.0,4.0,5,1.0,1.75,0.0362231609697874,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Sword,9-60,Needle,25.0,1.0,3.0,4,2.0,1.33,0.0455860626446362,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Sword,9-60,Rush,50.0,2.0,2.0,4,1.5,2.5,0.1500357088201714,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Sword,9-60,Taper,50.0,4.0,4.0,8,1.25,1.5,0.2152125268244419,⚪ Datos insuficientes,⚪ Datos insuficientes
Dran Sword Free,3-60,Flat,0.0,0.0,3.0,3,0.0,0.0,0.0,⚪ Datos insuficientes,⚪ Datos insuficientes
Driger S,1-60,Unite,33.33,1.0,2.0,3,2.0,1.0,0.0614903152761605,⚪ Datos insuficientes,⚪ Datos insuficientes
Emperor Might Bumper,5-60,High Needle,50.0,4.0,4.0,8,1.0,2.0,0.2152125268244419,⚪ Datos insuficientes,⚪ Datos insuficientes
Emperor Might Heavy,9-60,Free Ball,33.33,2.0,4.0,6,1.0,1.25,0.0967693325592168,⚪ Datos insuficientes,⚪ Datos insuficientes
Emperor Might Round,9-60,Under Needle,75.0,3.0,1.0,4,1.0,1.0,0.3006360524426366,⚪ Datos insuficientes,⚪ Datos insuficientes
Fort Hornet Heavy,4-50,Ball,71.43,5.0,2.0,7,1.0,1.0,0.3589290901482126,⚪ Datos insuficientes,⚪ Datos insuficientes
Fox Brush Jaggy,1-60,Rush,28.57,2.0,5.0,7,1.5,1.4,0.0822171657090155,⚪ Datos insuficientes,⚪ Datos insuficientes
Fox Brush Slash,1-60,Low Flat,0.0,0.0,5.0,5,0.0,1.2,0.0,⚪ Datos insuficientes,⚪ Datos insuficientes
Ghost Circle,0-80,Low Orb,60.0,3.0,2.0,5,1.0,1.5,0.230719932208837,⚪ Datos insuficientes,⚪ Datos insuficientes
Ghost Circle,3-60,Low Orb,63.33,19.0,11.0,30,1.32,1.45,0.4551324643360493,🔵 Spin finish,🔵 Pierde por spin
Ghost Circle,9-60,Free Ball,50.0,2.0,2.0,4,1.5,2.0,0.1500357088201714,⚪ Datos insuficientes,⚪ Datos insuficientes
Ghost Circle,9-80,Low Orb,12.5,1.0,7.0,8,1.0,1.43,0.0224169088632961,⚪ Datos insuficientes,⚪ Datos insuficientes
Golem Rock,0-80,High Needle,61.54,8.0,5.0,13,1.13,2.0,0.3552248097226855,🔵 Spin finish,🟠 Pierde por burst/over
Golem Rock,1-60,Low Orb,100.0,1.0,0.0,1,1.0,0.0,0.2065432914738929,⚪ Datos insuficientes,⚪ Datos insuficientes
Golem Rock,1-60,Under Needle,42.11,8.0,11.0,19,1.88,2.0,0.2314162039203038,🟠 Burst / Over,🟠 Pierde por burst/over
Golem Rock,1-60,Unite,25.0,1.0,3.0,4,3.0,1.33,0.0455860626446362,⚪ Datos insuficientes,⚪ Datos insuficientes
Golem Rock,1-60,Wedge,100.0,1.0,0.0,1,1.0,0.0,0.2065432914738929,⚪ Datos insuficientes,⚪ Datos insuficientes
Golem Rock,3-60,Free Ball,100.0,8.0,0.0,8,1.38,0.0,0.6755843804891231,⚪ Datos insuficientes,⚪ Datos insuficientes
Golem Rock,5-60,Hexa,50.0,2.0,2.0,4,1.0,1.5,0.1500357088201714,⚪ Datos insuficientes,⚪ Datos insuficientes
Golem Rock,6-60,Low Rush,50.0,3.0,3.0,6,1.33,1.67,0.1876128068994087,⚪ Datos insuficientes,⚪ Datos insuficientes
Golem Rock,6-60,Rush,100.0,1.0,0.0,1,1.0,0.0,0.2065432914738929,⚪ Datos insuficientes,⚪ Datos insuficientes
Golem Rock,6-60,Under Flat,0.0,0.0,2.0,2,0.0,1.5,0.0,⚪ Datos insuficientes,⚪ Datos insuficientes
Golem Rock,6-80,Hexa,83.33,5.0,1.0,6,1.4,2.0,0.4364905634363539,⚪ Datos insuficientes,⚪ Datos insuficientes
Golem Rock,6-80,Low Orb,71.43,5.0,2.0,7,2.0,2.0,0.3589290901482126,⚪ Datos insuficientes,⚪ Datos insuficientes
Golem Rock,7-60,Low Rush,25.0,1.0,3.0,4,2.0,1.67,0.0455860626446362,⚪ Datos insuficientes,⚪ Datos insuficientes
Golem Rock,7-60,Orb,33.33,1.0,2.0,3,1.0,2.0,0.0614903152761605,⚪ Datos insuficientes,⚪ Datos insuficientes
Golem Rock,9-60,Low Flat,0.0,0.0,2.0,2,0.0,1.5,0.0,⚪ Datos insuficientes,⚪ Datos insuficientes
Golem Rock,9-60,Low Orb,70.37,19.0,8.0,27,1.37,1.88,0.515189666191624,🔵 Spin finish,🟠 Pierde por burst/over
Golem Rock,9-60,Under Needle,70.0,7.0,3.0,10,1.57,2.0,0.3967732199795652,🟠 Burst / Over,🟠 Pierde por burst/over
Golem Rock,9-60,Unite,40.0,2.0,3.0,5,1.5,2.67,0.1176182311592532,⚪ Datos insuficientes,⚪ Datos insuficientes
Hells Chain,3-80,Point,33.33,2.0,4.0,6,3.0,1.5,0.0967693325592168,⚪ Datos insuficientes,⚪ Datos insuficientes
Hells Chain,5-60,Ball,28.57,2.0,5.0,7,1.5,1.8,0.0822171657090155,⚪ Datos insuficientes,⚪ Datos insuficientes
Hells Chain,5-60,Dot,45.83,11.0,13.0,24,1.73,1.62,0.2789105835168142,🟠 Burst / Over,🟠 Pierde por burst/over
Hells Chain,5-60,Free Ball,12.5,1.0,7.0,8,1.0,1.43,0.0224169088632961,⚪ Datos insuficientes,⚪ Datos insuficientes
Hells Chain,5-60,Hexa,33.33,3.0,6.0,9,1.67,1.33,0.1205815986827429,⚪ Datos insuficientes,⚪ Datos insuficientes
Hells Chain,5-60,High Needle,50.0,2.0,2.0,4,1.5,1.5,0.1500357088201714,⚪ Datos insuficientes,⚪ Datos insuficientes
Hells Chain,5-60,High Taper,66.67,8.0,4.0,12,1.735,2.75,0.3906175873976139,🟠 Burst / Over,🟢 Pierde por xtreme
